SECTION_NAME,FIELD_LABEL,FIELD_DESCRIPTION,FIELD TYPE
Logistics,Venue Type,"What type of venue are you hoping for?
Restaurant or Raw Space? (museum, gallery, pop-up shop, etc)?
When doing walkthroughs of the venue options, will client team require they be on a site visit to determine a venue?",Short Text
Logistics,Venue in Mind,,Rich Text
Services,CoC Services,,Services
Services,Food & Beverage,"What is your specific serving style for food? Seated Dinner, Passed Canapes, Grazing Table?
What level of service are you expecting? White glove service, family style?
Are there any dietary restrictions from your team or guests of honor that we need to be aware of as we ideate?",Rich Text
Services,Chef in Mind?,"Is it important to you that the chef is a known name?
If yes, can you tell me if you need that chef to post about the event to social? This affects how much we need to budget for the chef. 
Are there any other social or talent requirements that you would need the chef for?",Rich Text
Services,Decor Needs,Can you share what your decor needs are? Branded buildouts? Photo moments? Printed Collateral Direction?,Rich Text
Services,Florals,Is there a specific floral direction you are looking for? Bountiful vs minimal?,Rich Text
Services,Takeaways,"Would you like us to ideate a takeaway?
Are you offering any of your products as a takeaway at the event? 
Are you looking for custom or premium packaging? Please note custom/premium packaging must be confirmed at least 12 to 14 weeks in advance to allow for Creative development, deck build, sampling, and internal approvals. Requests made outside this window may not be feasible. In those cases, Care of Chan will recommend standard packaging or no packaging to ensure quality and alignment.",Rich Text
Services,Music,"Do you have any specific requests around music?
Playlist? DJ? House Music?",Rich Text
Services,Photographer,Do you need us to budget and source for a photographer?,Rich Text
Services,BFA Photographer,"Do you need us to budget and source for a wired photographer? Typically BFA is only required if your PR team wants to pitch the event to event press. 
Do you need us to budget and source for an on-site editor? Typically this is required if your PR team needs a less than 24 hour turn around.",Rich Text
Services,Graphic Designer,Do you need us to budget and source for a graphic designer?,Rich Text
Services,Design Needs,"Will you need physical samples?
Do you need us to create a new visual identity for the event graphic design?
Will you need renderings? Do you need architectural or stylized renderings?

For context, there are two types of renders:
- Architectural renders: These are the """"not so pretty"""" renders that fabricators make to show the scale. Think of this as an architectural drawing. Architectural renders are the first step which take about 1-2 weeks including internal feedback from our team. 
- Stylized renders: These are the final, final """"pretty"""" renders, that take all of the architectural drawings from the venue as well as the custom pieces we fabricated and place them to scale so the client can better see. Stylized renders come afterwards which take another 1-2 weeks (this bakes in, internal and external client reviews/edits)",Rich Text
Services,Videographer,"Do you need us to budget and source for a videographer?
Can you tell me what the videos will be used for? Full event sizzle reel, social, website, tv?",Rich Text
Services,Other Confirmed Vendors,Are there any preferred vendors on your end that you'd like us to work with?,Rich Text
Talent,Talent,"Can you tell me what you want the talent to do?
What will be there contractual obligations?
Will you need them to promo the event on social? If so, what does that specific ask look like?",Rich Text
Talent,Talent in Mind?,,Rich Text
Talent,Talent Accomodations,"Who is responsible for locking in the talent?
Does Talent Fee need to be accounted for in our budget?
Does Talent Rider and T&E need to be accounted for in our budget?",Rich Text
Talent,Talent Contract Requirements,"If the talent is already locked in, can you please share what their SOW is so we understand their involvement with the event?",Rich Text
Other,Liquor Cabinet Inclusion,"Please know that on our end, we have a couple of preferred beverage partners. This means that if the beverage partner fits with the overall vision for the event, we ask our venue and/or bar staff to use our preferred beverage partners for the drinks. The two brands we work with are:
- Doladira - an elevated aperitif insoured by the Italian Alps founded by Meredith Erickson, the author of Alpine Cooking and the Joe Beef Cookbook. ",Rich Text
Other,Additional Notes,,Rich Text
