external_id,notes
36,CoC getting client our initial thoughts by EOW. 12/17
37,Client needs a few weeks to align internally. Asked to circle back in 2026 to assess appetite for large scale activation. SY 12/17
38,NB scheduling follow up call with client and partner in January to better understand opportunity. SY 12/17
39,"Connecting with the external Hilton team on Fri, 12/19 for a meet 'n greet + kick-off discussions. JA 12/18"
40,"Scope and recommended staffing in internal review; feedback due to Resy Friday, 12/19. JA 12/18"
41,Reconnect at start of 2026 to explore partnership opportunities. SY 12/17
42,SY and SC met with client on 12/08. Awaiting budget from client. SY 12/17
43,"We had capabilities call to talk about programming their new soho store, in addition to producing the programs. GD working on setting up a follow up call to chat more granularly about scope. GD, 12/18"
44,GD + SY setting up time to chat 2026. SY 11/24
45,"Dani met Jeremy at J.Crew Puglia trip. He expressed interest in working with CoC for a Rolex event. GD followed up on 11/13 to gauge Rolex's interest. Client needs more time to get info on events + production partner preferences SY, 11/23"
46,SY reaching out to talk 2026 plans before EOY. SY 12/04
47,NB had intake call on 11/19. Plan to regroup with client first week of January 2026 with budget clarity and to chat about potential retainer relationship for ongoing Arc’teryx events. Libby on maternity leave starting mid-March (replacement TBD) SY 12/04
48,Client needs more time to get concrete info for 2026. NB to circle back in 2026 for May Event at NYCxDESIGN. SY 11/21
49,NB had intake call on 12/10. Going to pick up convo again in January. SY 12/17
50,SY + GD had exploratory call with client to chat about 2026 plans. NB sent relevant case studies and details about proposed scope. Awaiting client feedback. Followed up once more on 12/18 SY 12/18
51,
52,"Cam shared full 2026 calendar. GD working on scheduling proper intake. GD, 11/21"
53,"Due to budget cuts, this event got killed. GD, 12/18"
54,"Cam shared as fuller 2026 calendar. We're holding the dates and GD will schedule intake as we get closer to the event date. GD, 11/21"
55,"Cam shared as fuller 2026 calendar. We're holding the dates and GD will schedule intake as we get closer to the event date. GD, 11/21"
56,"Cam shared as fuller 2026 calendar. We're holding the dates and GD will schedule intake as we get closer to the event date. GD, 11/21"
57,"Cam shared as fuller 2026 calendar. We're holding the dates and GD will schedule intake as we get closer to the event date. GD, 11/21"
58,"Cam shared as fuller 2026 calendar. We're holding the dates and GD will schedule intake as we get closer to the event date. GD, 11/21"
59,"Cam shared as fuller 2026 calendar. We're holding the dates and GD will schedule intake as we get closer to the event date. GD, 11/21"
60,NB had 2026 planning on 12/10. Exploring 2026 ways of working together. SY 12/17
61,SY setting up call for January to chat 2026 planning. SY 11/18
62,GD reached out on 11/17 to chat 2026. SY 11/17
63,SY reaching out about 2026 planning. Client says let's circle back in mid-January SY 11/14
64,NB had intake call to chat 2026 on 12/09. Exploring future ways of working together. SY 12/17
65,Sue let them know we can't produce but NB going to take call to chat CD + 2026. SY 11/14
66,Passed due to concept + condensed timeline. SY 11/14
67,"Client requested that we submit budget estimate in order to greenlight project. GD working with team on getting a budget built in Jan. GD, 12/4"
68,Client is not ready to engage in long term programming retainer. Scheduling a call to circle back in Jan 2026. SY 11/13
69,SY setting up call to chat through 2026 plans and explore ways of working together. SY 11/13
70,Gaby + Susana chatted with Jens about his current needs and goals and are pitching a wide range of agency services. Jens asked us to circle back to this some time in October/November due to tariffs and tight budget. GD setting up renewal call wtih client. SY 11/13
71,Perfect for RTH. SY 11/13
72,SY reached out on 11/13 to see how tour is shaping up. SY 11/13
73,"While we're still awaiting more information, Dana mentioned this was coming our way at the YE Trend event last night. JA 11/13"
74,In Progress
75,Gaby had call with client on 11/11 to discuss kick-off for top of 2026 SY 11/12
76,We passed due to lack of production bandwidth; Offered creative direction instead. SY 11/12
77,SY had intake call and passed on assisting on next week's Gala. CoC to share agency deck. L’Alliance sharing 2025 guest list for reference. We also shared rough fee proposal for ~10% guest enhancement (≈15 celebrity guests). Awaiting client feedback SY 12/16
78,"Resy already has 120 Committed Events for 2026, and expressed their desire to move the more high-profile, bespoke events to COC (from Karlitz) but we must meet their fee structure of $10k per event"
79,All discussions around this was paused (which is not in Resy's control) but this has moved beyond Q2 JA 11/13
80,"We passed due to limited budget and timeline, but asked if there was any flexibility around RFP due date or budget. Waiting feedback, followed up twice. SY 12/18"
81,"Resy is interested in doing a campaign to officially announce that Tock is a part of Resy; This would be part of the experiential strategy for JCE/Tock + Resy integration campaign, but the concept is TBD and will likely be part of a larger strategy Resy has yet to briefed on JA 11/13"
82,Looking at doing this in the spring before Resy's joint consumer experience (JCE) launch; Kick off would be in January JA 11/13
83,Conversations still on hold until Amex signs MSA agreement; Sofia is looking to reschedule Ext Hilton call prior to our winter break. JA 12/4
84,Perfect for RTH. Reach out when we're ready. SY 12/09
85,Prospective client who admires CoC events and wants to find ways to work with us. SY 12/08
86,"Due to short lead time, client cancelled this moment. Hoping to find future ways of working together. SY 11/07"
87,SY had intake call on 11/06 and sent agency deck as follow up. SY 11/12
88,Production in motion
89,"Client needs culinary production, but our team doesn't have bandwidth to take this on. Target team asked to attend future CoC events to experience CoC's F&B firsthand. SY 11/06"
90,GD setting up exploratory call for 11/11. SY 10/30
91,Passed due to bandwidth and short notice. SY 11/07
92,"Rachelle used the 2nd half of her consulting hour with Sue this week. We passed on RSVP management for event, due to bandwidth. SY 10/09 "
93,"We're moving forward with The Longest Table concept. Kickng off proposal phase in the new year. GD, 12/18"
94,Awaiting client readiness after SC and GD met to share agency services. SY 10/30
95,SY had intake call to share agency services and chat through 2026 plans. SY shared agency deck. Olivier will be chatting with DR tourism board in coming months and will soft pitch the idea of partnering together. SY 11/05
96,NB passed on opp due to limited bandwidth and lack of budget. Perfect for RTH though! SY 11/05
97,Resy unfortunately was rfp-ing other agencies and have decided to work with another agency for these two events. We will pick content back up for Rx Sponsored events in Jan/Feb 2026
98,Client said their 2026 budget doesn't allow for official 2026 long term production partner. No next steps. SY 10/27
99,Passed due to bandwidth + holiday office closure. SY 10/28
100,Client wasn't able to get budget approved by senior leadership. Had to cancel. SY 10/31
101,MikeTeevee sending CoC NDA to disclose further info on creative + budget. SY followed up on 10/22. SY 10/22
102,Reach out when we have RTH. SY 10/23
103,Sue going to private collection SS26 presentation and planting seeds for 2026 outreach. SY 10/23
104,We passed due to bandwidth; Perfect for RTH clients!
105,Client cancelled but expressed interest in future ways of working together. NB hoping to schedule call in coming weeks. SY 10/22
106,"CoC offered Culinary/Creative Direction scope instead of Culinary Production due to smaller budget. Client expressed interest, but would still need to increase budget in order for CoC to meet goals. Client could not increase budget and needs so we will have to pass here. SY 10/22"
107,"Passed due to capacity, but will nurture relationship for 2026 programming retainer. SY 10/21"
108,"Client decided to pause any gifting initiatives, but will circle back in 2026 after seeing where large chain retail placements land in Spring. SY 10/21"
109,We had to pass due to bandwidth. SY to see if we can pitch referral agreement to LaMont Digital. SY 10/22
110,"Client not sure of budget or timeline just yet, but most interested in Gifting. NB sent Gifting SOW, client requested time to digest. CoC awaiting feedback. SY 10/21"
111,Passed due to bandwidth. Will circle back mid-November to chat 2026. SY 10/21
112,"Sue met with CEO + they have some great, but nascent ideas for 2025/2026. Passed due to bandwidth and lack of cohesive concept. SY 11/18"
113,Client reached out 3 days before event. CoC unable to guarentee RSVPs on such short notice. We passed SY 10/17
114,No next steps. Client's budget didn't allow for engagement this year. SY 10/17
115,Client having internal conversation to decide final concept + budget before CoC gives response. SY 10/15
116,No next steps; Client ended up cancelling before we had intake call SY 10/16
117,Passed due to bandwidth. Will circle back mid-November to chat 2026. SY 10/21
118,We had to pass due to bandwidth.  SY 10/22
119,"NB took intake call; Client was mostly interested in hearing about CoC services, but was curious if we could help find sponsor seeing that Treetop has no budget. 10/15 SY "
120,"NB turned down due to timeline, bandwidth + brand fit. Will circle back when RTH is ready 10/14"
121,"NB turned down due to timeline, bandwidth + brand fit. Will circle back when RTH is ready 10/14"
122,Client wants to be introed to Happier group. Renée is assessing fit. SY 10/10
123,Officially in Production as of 10/29
124,"No longer happening due to budget, GD 12/4"
125,"No longer happening due to budget, GD 12/4"
126,Murphy O'Brien was not aware that CoC is talking to Auberge property Wildflower Farms for a separate opp. NB shared our agency deck and asked for Etéreo's events deck for our team's consideration.  SY 10/09
127,"Client still gathering initial info from agencies + doesn't have format, location, budget decided. NB to follow up in a few months. SY 10/08"
128,Client pitched their Brazilian properties as potential destinations for CoC to bring future gigs to. CoC to consider properties in future client convos. No next steps. SY 10/08
129,Preeti no longer works at Kent! Sounds like the board had let him go - per intel from Alexandra! SY 10/09
130,UNIQLO November event with Labubu isn't happening. They couldn't secure the budget to do an event. SY 10/09
131,Cancelled event due to delays in approvals from Italy team. NB to continue nurturing relationship for 2026. SY 10/08
132,Production in motion
133,"We turned down this opp due to small budget, but sent the client our agency deck and shared our services for future events planning. SY 10/01"
134,Production in motion
135,Check in mid-Oct one they get past their event 09/29
136,"We had our post-mort from the MAD Mondays project. Doesn't seem like they're going to move forward with this scope with us just based on the fact that they don't have the budget for us to produce. I will check back in the new year to confirm. GD, 12/18"
137,GD will kick off onboarding on 10/06. SY 09/26
138,NYT to confirm budgets for gifting and VIP dinner. GD followed up for feedback on 09/17. We're still waiting on angela to get back to us SY 10/10
139,
140,"This didn't end up being an actual opp with Resy, so GD got tapped in. Waiting to hear back on Helen on budget. GD, 10/9"
141,"Given Opentable involvement + CoC bandwidth for Nov/Dec + low budget, we passed. SY 10/10"
142,Client wants to circle back for 2026 events. Client really liked the idea of an overnight press trip for NJ. NB will circle back at top of the year. SY 09/29
143,"Approved Event Concept: More than merely places to eat, restaurants can serve as bustling cultural hubs and key meeting places that play a pivotal role in crafting the zeitgeist of a particular era (see New York’s “yesteryear” issue looking at a century of the city through restaurants). Resy’s ""Restaurant Revival"" (official event name TBC), partners will create a special menu as an ode to a historic haunt, with playful period-specific decor and programming touches to transport diners to another time and place."
144,Included in list of event Cam sent to have on our radar. 4/17
145,All items in Production; shipping to begin the week of 10/06
146,
147,
148,"[Intake Notes here. GD internal go-no-go with Sue & Alexandra. GD, 4/21](https://docs.google.com/spreadsheets/d/1KIr-VCE8EyZQjSHtzPItGBLdtTrBz6UmZZiCWzSXokk/edit?usp=sharing)"
149,Team presented to client last week. Client said they'd provide feedback by EOD or Monday 09/29 at latest. SY 09/26
150,"NB offered Creative Concepting + Consulting services in lieu of Production, given low budget. NB and client hopped on call to discuss options, timeline, and concept. Awaiting client's decision on how they'd like to proceed for 2025, but most likely not happening. That said, client did like the press trip idea and want to potentially save that for next year so we have the proper time to put it together. SY 09/26"
151,"CoC presenting to Thompson on Monday 09/29. SY, 09/26"
152,WSA handling full production. CoC no longer needed. SY 10/06
153,Client did not have budget for production minimum. No next steps SY 09/26
154,Initial budget was $10k but then they came back saying they are flexible and asked us how much it would cost and then we went back with numbers to give them an idea. Awaiting feedback SY 09/26
155,NB meeting with client on-site on 10/07 SY 09/24
156,NB sending bandwidth assessment. We're waiting on final chandelier creative scope ahead of kick off. SY 09/26
157,"Client asked for a RFP within a week. Given low budget and brand misalignment, we turned this opp down. SY 09/26"
158,"SY followed up on SOW, but no response or feedback. SY 09/25"
159,"Given short timeline, project was not feasbile. SY 09/26"
160,SY to reach out in January for 2026 planning. SY 12/17
161,CoC turned down opp due to bandwidth SY 09/26
162,Client decided Winter Bazaar will replace this trip. SY 09/26
163,Awaiting client feedback. No response despite multiple follow ups. SY 12/17
164,"TBC - Vanessa has a close friend who is the Brand Experience Director of LVMH; Interested in seeing CoC agency deck. GD, 9/19"
165,"TBC - No specific event yet, client wants to do events and would love to explore working together; Client is Vanessa's a close friend who is the Head of Brand at Counter; Interested in seeing CoC agency deck. GD, 9/19"
166,"Back in August, client asked for time to review Liquor Cabinet Program internally. SY followed up on 09/15."
167,Next step is for GD to draft a scope for alexandra to review. SY 09/12
168,NB will follow up about working with them after the bake sale. SY 09/12
169,"Resy has ~20-30 more In-Rx Sponsored events for 2025- and a desire to have more notables, tastemakers and industry mavens attend their events versus the ""typical foodie influencer."" Next step is for Jo to finalize scope with Natasha. She will send to Gaby/Alexandra for review first. SY 09/12"
170,Client didn't respond to inquiry follow-up. SY followed up on 09/12. SY 09/12
171,"Client has yet to bite on agency services. NB not following up because restaurant location is in Pacific Palisades + likely difficult to get CoC crowd to. SY 09/24  
"
172,"Client gave feedback on original SOW. Gaby sent updated SOW to client on 09/04. They confirmed they'll get back to us by Monday, 9/15 SY 09/11"
173,"Peter Do is launching a personal line, PD-168, and wants CoC to throw the launch event around NYFW. Client had no budget and needed CoC to find sponsor. We offered consulitng services instead. SY followed up with client on 09/04. SY 09/04 "
174,"Sue ultimately decided to pass, not the right brand fit. SY + GD still going to go meet founders in person and check out space. SY 09/15"
175,Last minute f&b production request. Unfortunately could not take on due to bandwidth and lack of lead time ST 09/04
176,"Sue & GD hopping on a call with Lauren in the next couple of weeks. GD, 4/8"
177,Budget will move to Cookie Week
178,"Re A24, this is for Materialist. The first activation is on the 30th but we're not involved in that. We'd only be involved in the after party on Mon, Jun 9. They are currently confirming talent hence the wait. Location would already be locked in and it's 620 at Rock Center (which I helped them get!) Theme is a ""wedding"" like party. SC, 4/30"
179,New Biz is onboarding Jake + Cole on 08/25
180,Client is thinking about doing an annual/bi-annual dinner series that combines various people in our network (and potentially beyond) because they believe that in-person experiences and connection are foundational to what they do. There isn’t much of a concept beyond this yet. They are wary of making it overly conceptual but these things in the VC industry tend to be so commercial/ transactional that it feels like there’s a unique opportunity to do something different. SY 08/28
181,"Founded by Estée Lauder’s granddaughter, Aerin Lauder, AERIN Beauty is a luxury fragrance brand inspired by Aerin’s signature style. Client is interested Event Concepting & Executive Production for consumer-facing buildouts + Creative Direction for Turnkey/Lower Budget Events they do through the year. They don't have anything specific coming up yet, but they wanted to chat with us to get the lowdown on our fees, services, and timeline needs so they can plan accordingly. FYI, originally they had that Rockefeller event, but they ended up partnering with Glossy for it and Glossy is handling all production for it, so there is no need for our services at this time.  SY, 08/27"
182,
183,Susana + Gaby met with Ann who is trying to convince the 99 Ranch Founder to write a book and wanted to brainstorm what brand evolution could look like. Idea is very nascent. No action items need. SY 09/04
184,Sue and GD had an intro call on 09/12 to talk through being their production partner for their hospitality evnets. Next steps is for GD to schedule an in person meeting with their larger team to talk about their hospitality strategy. SY 09/12
185,"They're not ready to chat specific details on either events quite yet, but they wanted to chat with us to get the lowdown on our fees, services, and timeline needs so they can plan accordingly. Gaby sent agency deck. SY 08/28"
186,"Dan Giusti asked Sue for help spreading the word about the Brigaid Summit to sell more tickets. Sue offered to help strategize how to get the word out through media, influencers, and partnerships. SY, 06/20"
187,"Carla inquired about working with Care of Chan for a holiday party, requesting a quote from CoC before pitching to Banana Republic. Gaby provided budget minimum, awaiting more info from client. SY 08/28  
"
188,Carrie reached out with prelim info. GD setting up a call. 2/27
189,"Sarit was intro'd to Sue through Bondi PR. Matter is a meal planning app that provides meal prepping through their new fast-casual restaurant in Soho, opening in September. Client ultimately didn't have budget at this stage SY 08/28"
190,
191,
192,"Interested in pitching their venues for our intl. trips. Susana took the call with Parasol. Next steps: waiting to receive client list to share with CoC team for future gigs SY, 08/28"
193,No next steps.
194,"Reached out via Typeform, pitched Liquor Cabinet Program, no response despite follow-ups. SY, 08/28"
195,Gaby's friend put us in contact. We've spoken to this company before. Unfortuantely they are unable to do partnerships for the rest of 2025 due to tax imports. SY 08/21
196,[Client Brief here. Included in list of event Cam sent to have on our radar. 4/17](https://drive.google.com/file/d/1xcyX4CdyXK5_aldPcdj2tgG7G381lo-f/view?usp=sharing)
197,Client had unrealistic production budget and not sufficient track record. We passed due to bandwidth. SY 09/10.
198,Sue had lunch with Rachel and put NB in contact to share more about our services SY 08/28
199,
200,"Budget was unfortunately too low for us to take on this production. We provided vendors/partner recommendations and expressed interest in future partnerships. SY, 08/28"
201,Client did not provide enough lead time. CoC could not produce.
202,"Sue had a quick chat with Barbara and she mentioned they'll be ready to talk in late July. GD, 6/27"
203,"Client reached out to us with $5k asking for custom mailers for 100 people. SY kindly responded with a realistic budget estimate of what this job would require. We passed on the opp, but expressed interest in exploring future partnerships. SY 08/19"
204,"GD scheduling intake. GD, 5/15"
205,"Could not take this on due to bandwidth, but keeping the door open for future opps. SY, 8/11"
206,GD had a larger convo with their VP of marketing this week. Sounds like we might be in the running to help for 2026 events. SY 09/26
207,Client had smaller budget + never responded after hearing production minimums. SY 08/28
208,"Client reached out for creative consultation regarding luxury client Cadillac. SY, 07/22"
209,"Perry Ross used to work at Bobbie. Bobbie is planning a fun activation tied to campaign with Alex Morgan, centered on redefining the idea of a ""soccer mom"". SY, 07/22"
210,DM reached out for production of Chess Club event with celeb talent. Low budget for ask. SY 07/22
211,"[Client brief here. Two day activation. GD did intale, sorting out next steps. 4/9](https://drive.google.com/file/d/15GfY_YQDHYJcHjFrIJuvEGRKdzXcNhId/view?usp=sharing)"
212,"Sue met her in person and followed up with our agency deck. GD, 4/15 Sue and Lindsey met again at Design.Space. and spoke about partnering for E+C WNBA All Star Experience. SY, 06/03"
213,Client was rude in email correspondance. Sue recommended not following up. 10/21
214,Included in list of event Cam sent to have on our radar. 4/17
215,
216,"Opportunity came through as RFP. If we get the bid, client would be Canada Goose. SY, 07/10"
217,
218,"They're not able to make the bodega happen due to budget, but they're building out holiday and spring 2026 now so maybe for next year SY 07/18"
219,"After sharing SOW with client, we are hopping on a call with Kristin + Sue to chat throw SOW on 09/10. SY 09/04."
220,
221,"Bolun was introed to CoC by Nicolas Simon from Wilcuma. Bolun is the owner for August Hospitality and Yingtao restaurant in Hell's Kitchen. He's looking to switch things up from a PR standpoint. SY, 06/10"
222,"Homecourt was one of the brands from Prix Fixe 2025 Summer Suite. Susana requested brand intro from Oset and Prix Fixe team. SY, 06/23"
223,"Sue had convo with Stacey when she came by the office. 2026's Nothing New was mentioned as potential collaboration. SY, 06/23"
224,"Soft Services didn't have budget to work with us, but we shared consulting option - Unfortunately was still out of budget. SY, 06/18"
225,"Sue had a meeting with Thessaly. They're still sorting out details. GD to reach out closer to the event to move forward with proposal process. GD, 3/26 The client decided to postpone party due to budget constraints. SY, 06/11"
226,"Sue met Revekka and Miltos from Dion at Cafe Zaffri on 05/30. We met with discuss Dion x CoC partnership. Ultimately decided there wasn't sufficient brand alignment SY, 06/02"
227,"Annie and CoC worked together when she was at NYT Cooking! Annie reached out to CoC for a ook launch party for David Gelles. CoC couldn't take it on due to low budget. SY, 06/02."
228,"Convo started on 3/24/2025. GD had call with founder. They sent samples. GD drafted proposal on 04/23. Stuzzi responded saying despite being really excited to work with CoC, the SOW and the fees associated with it would best be fit for them in 2026. Will reach out by end of 2025. SY, 06/05/25"
229,"Likely a no-go, given location & request for PR services, SY 05/29"
230,"Francesco reached out for introduction and possible collaboration. Terramadre homes manages a selection of properties with tangental full suite of luxury concierge. They're looking for like-minded partners who can manage the international promotion and commercialization of their villas, targeting a qualified and high-end clientele. SY, 05/30"
231,
232,"Lizzie Noonan connected Sue. GD scheduling a call, no word. GD checked in with Lizzie to give her a nudge but no response. GD, 06/12"
233,"[Intake Notes here - they want us to help manage their PR plan and local agencies. Giulia sent their full calendar, GD working on SOW. GD, 1/22](https://docs.google.com/spreadsheets/d/1k0ygl0zWFU6zJ9nezl2WytybZ5sfu1zapG7bsSxujKE/edit?usp=sharing)"
234,"[Full Intake here. GD confirming internal go-no-go. GD, 5/1](https://docs.google.com/spreadsheets/d/1UvKknFk_OYbcnKZ9RHx1nWD0_yxZrtQiU83VJK8q_3g/edit?gid=0)"
235,"GD had a call, they seemed interested in Liquor Cabinet. Followed up to schedule a tasting and looks like contact is no longer there. CEO is now in touch and I had shared info with them. Waiting on response. GD, 4/3"
236,"Niraj reached out to Sue. Waiting on further details. GD, 4/7"
237,"Negin reached out about a Monses Dinner. It didn't work out, but there are potential opportunities for Fashion Week and the Met. Sue let me know that they chose another venue/partner for The Met but that she set her up with a site visit and dinner at The Twenty Two. She'll be back in May and Sue will reach out then to connect with her about future opps. GD, 4/3"
238,"They reached out about a Feb event, but timing was too tight. They want to engage us for an anniversary event later. GD to check in with them at end of February. 2/3"
239,"GD took a call. Super early, so they don't have a confirmed budget. GD to check in during the summer. GD, 4/3"
240,"Lisa reached out about the opp. GD trying to set up a call. GD, 5/1"
241,"GD took intake call. It was for RSVP management. We didn't feel it was the right fit. That said, they have other events coming up, so we should consider this a warm lead. GD to check in with them in May. GD, 3/31"
242,"Lizzie connected us just around the tarrifs announcement. When I tried to shcedule a call they asked if they could have more time and they would circle back later this year when budgets will be more certain. GD, 4/23"
243,"Jo met with Katie and looped in Gaby. GD, 2/13"
244,"[Intake here, Gaby met full Woodbine team and shared budget range. They confirmed they have a cap of $200K all-in and will get back in touch once they have a PR agency who can serve as a thought partner on the event. GD followed up with Beth in March, and she told me they are still sorting out details and that the event has been pushed to August. GD, 4/3](https://docs.google.com/spreadsheets/d/1jyEb7CvH37NWux4b9OhRCNHv-mvETDtywUS4y2zaKyU/edit?usp=sharing)"
245,"GD had call. There's multiple ways we could partner. She's an in to specific venues, but she also mentioned that they have a catering arm that could use our creative help. She said she'd reach out when an opp like that arises. GD, 4.9"
246,"[Gaby had intake call. Notes here. They're hosting a conference and are looking for production partners. I let them know we don't typically produce large conferences like that, but we could come on as a programming partner. It was more of an exploratory call, she'll get back to me with what they're thinking now that they have more info on us. 3/26](https://docs.google.com/spreadsheets/d/13hXOJXzWpCZuHN8de8n8kYs4Pg-oTOF96J6DakrOdjU/edit?usp=sharing)"
247,We did not have the bandwidth to take on the event.
248,"Connected with us over Chef's Table and also wanted to chat about an event opp. We sent through our deck and are waiting to hear back. GD followed up. GD, 4/3"
249,"Sue & Gaby chatted. Looks like we could potentially do a programming scope. Next step is a tour, Gaby looped in Afoma to set that up. GD, 1/29"
250,"Sue and Gaby met with Wilma and Lauren to brainstorm 2025 event ideas. They are taking our ideas to their exec team and will try to schedule another brainstorm with us. GD, 11/21"
251,"Gabby Katz gave Tori my email, so she could reach out about any potential restaurant venues for their PR dinner in September 2025. I let her know we are no longer repping restaurants, but that I'd love to hop on a call to chat how we could help with their events. Gaby working on scheduling that meeting for January. GD followed up to schedule call, 1/13"
252,"[Intake Notes here. Rachael is working with Bureau Betak and they need our help with culinary. GD took a call, but it sounds like their budget is slim. I proposed that we'd be open to negotiating our fee, but still waiting to hear back. GD, 4/3](https://docs.google.com/spreadsheets/d/1AnhrSQkYU6tWWPNIl1HvKF1BUJXZQgV7MZp2fOnw3ks/edit?usp=sharing)"
253,"Reached out, Gaby sent form, and then will schedule an intake. GD followed up for them to fill out form. GD, 1/29"
254,"Sue and I hopped on a call. They are still in the early stages ahead of launch. This was more of an exploratory call. We have them some launch tips, but I would consider this lead warm. GD, 4/3"
255,"[Intake Notes here. GD to reach out closer to the event date for a proper intake. GD, 1/15](https://docs.google.com/document/d/18mdCA_zjHmhgueCmgugDfV9cDb7qlmXwM0I7ENlcuHo/edit?tab=t.0)"
256,"May 2024 did not pan out, but they are interested in working with us for the close out of the series in May 2025. Gaby sent a follow up note in Jan 2025. GD, 1/29"
257,Mariam reached out with some q's on budget. SC scheduling a call with GD. 2/25
258,"GD and SC met with the Svenskt team in NYC. They told us they'd follow up with a final budget by EOY and we'll move forward then. GD, 11/21"
259,"Gaby was in touch about a May event, but it didn't pan out. Grace gave me the heads up on Fall. GD, 3/14"
260,"[Intake here - Carly let me know they have an event series they may need our help with. Carly is based in LA, so GD to hold on following up until Feb at the earliest. GD, 1/13](https://docs.google.com/spreadsheets/d/1ShUMcNtVfqo8flMLUSpMH5DUtvq2F5dhF10JnagPB7Q/edit?usp=sharing)"
261,"Alexandra mentioned an Etsy event in August/September. Gaby to check in with her in May for updaes. GD, 3/11"
262,"[Intake Notes here - Hosting at the Proper Hotel and they are interested in working with us to produce the trip. Waiting on client go-no for LA Frieze Event and then we can chat more about this. GD, 11/18](https://docs.google.com/document/d/1RI8abJFy0Zk3i4cpxj9fnnaRJiR97pEBmKO7cxhxycA/edit?usp=sharing)"
263,"Shane connected us, GD setting up a call. GD, 1/30"
264,"Oset connected us, GD scheduling intro call. GD, 1/27"
265,"Afoma connected us. GD scheduling a call. GD, 1/31"
266,"We passed due to bandwidth. GD, 2/25"
267,"Macy reached out, GD sent Typeform to get more details. GD, 1.30"
268,"Sue had dinner with them and they're interested in working with us on:  
-Curating chefs for their ""professional"" lunch events there are about one a quarter for two of their corporate clients  
-Curating menu enhancements for their catering menus  
-Curating the chefs for the cafe at Carnegie Hall  
  
GD and MDH had a call to chat further. GD drafting SOW. 2/18"
269,Sue in touch about potential to produce symposium - 8/1
270,"Gaby and Sue did a brainstorm with them. Stephanie to confirm budget and final details in December. GD, 11/21"
271,"Sue took the call and followed up with questions and looped Gaby in. GD, 11/18"
272,"[Intake notes here. GD sent deck, waiting on response. GD, 1/17](https://docs.google.com/spreadsheets/d/1UsiOFbLNL15uC5dhAbksd_4lAdfXbG1a7xcpqT6GDtI/edit?gid=0)"
273,"[Intake here, Samantha said she would follow up in two weeks to chat budget - 10/18](https://docs.google.com/spreadsheets/d/1QBlxhHNFU58pg8Y4iGrpYiZHQC-mE5d_gyA_YlsjyWA/edit?usp=sharing)"
